Date,Open,High,Low,Close,Adj Close,Volume
2021-12-21,1817.900024,1852.199951,1812.500000,1827.550049,1827.550049,2077840
2021-12-22,1827.550049,1879.550049,1827.550049,1871.000000,1871.000000,1692505
2021-12-23,1883.000000,1887.849976,1862.099976,1878.449951,1878.449951,1677127
2021-12-24,1888.750000,1888.750000,1850.000000,1859.400024,1859.400024,1203991
2021-12-27,1859.400024,1875.650024,1845.800049,1866.199951,1866.199951,1139744
2021-12-28,1872.099976,1909.000000,1872.099976,1899.500000,1899.500000,1916098
2021-12-29,1895.000000,1908.949951,1890.050049,1894.849976,1894.849976,1287946
2021-12-30,1892.300049,1901.699951,1880.900024,1885.699951,1885.699951,1805349
2021-12-31,1887.349976,1907.099976,1887.300049,1895.900024,1895.900024,1145546
2022-01-03,1895.000000,1937.449951,1893.650024,1922.849976,1922.849976,1906676
2022-01-04,1922.849976,1943.000000,1914.550049,1937.550049,1937.550049,1643920
2022-01-05,1940.699951,1951.000000,1927.650024,1948.599976,1948.599976,1711667
2022-01-06,1944.500000,1953.000000,1919.599976,1924.500000,1924.500000,1372015
2022-01-07,1929.050049,1934.949951,1897.150024,1904.900024,1904.900024,1447123
2022-01-10,1910.000000,1959.949951,1907.250000,1953.099976,1953.099976,2397846
2022-01-11,1949.000000,1970.000000,1937.650024,1961.150024,1961.150024,2232435
2022-01-12,1978.500000,1984.000000,1960.300049,1974.199951,1974.199951,1585970
2022-01-13,1975.550049,2029.000000,1975.550049,2018.400024,2018.400024,2373324
2022-01-14,2014.000000,2049.949951,2007.000000,2044.750000,2044.750000,3124945
2022-01-17,2044.750000,2071.949951,2042.000000,2069.399902,2069.399902,1858651
2022-01-18,2075.649902,2078.550049,2010.550049,2022.199951,2022.199951,1460676
2022-01-19,2019.900024,2027.000000,1987.000000,2020.900024,2020.900024,2336679
2022-01-20,2020.000000,2035.000000,1984.099976,2003.500000,2003.500000,2031107
2022-01-21,1982.150024,1994.800049,1943.050049,1956.050049,1956.050049,2209132
2022-01-24,1955.000000,1959.000000,1881.550049,1899.900024,1899.900024,2307120
2022-01-25,1895.000000,1931.300049,1850.099976,1925.300049,1925.300049,2998042
2022-01-27,1914.550049,1922.000000,1867.000000,1910.849976,1910.849976,2932713
2022-01-28,1916.099976,1948.000000,1891.300049,1897.550049,1897.550049,2233620
2022-01-31,1890.199951,1924.000000,1850.449951,1909.199951,1909.199951,3161064
2022-02-01,1928.650024,1999.900024,1917.000000,1990.500000,1990.500000,5392787
